symbol,timeframe,bars,start,end,duration_days,coverage_pct,price_mean,ann_return_pct,ann_vol_pct,sharpe,skewness,kurtosis,max_dd_pct,avg_range,avg_spread_pct,gaps,duplicates,low_vol_pct,high_vol_pct
EURUSD,M1,99820,2026-01-27T23:59:00+00:00,2026-05-05T16:23:00+00:00,97.7,71.0,1.17004,-14.89,9.24,-1.612,0.183,260.908,-5.26,0.00016,0.0137,16,0,33.0,33.0
EURUSD,M5,99964,2024-12-31T03:40:00+00:00,2026-05-05T16:20:00+00:00,490.5,70.8,1.14019,12.28,9.69,1.267,-0.35,70.998,-5.35,0.0004,0.0351,75,0,33.0,33.0
EURUSD,M15,100641,2022-04-20T00:00:00+00:00,2026-05-05T16:15:00+00:00,1476.7,71.0,1.0916,2.83,9.8,0.289,0.084,36.051,-12.71,0.0007,0.0639,216,0,33.0,33.0
EURUSD,H1,27490,2021-12-06T00:00:00+00:00,2026-05-05T16:00:00+00:00,1611.7,71.1,1.09393,1.07,9.68,0.111,0.095,15.356,-16.98,0.00144,0.132,235,0,32.9,32.9
EURUSD,H4,6876,2021-12-06T00:00:00+00:00,2026-05-05T16:00:00+00:00,1611.7,71.1,1.09394,1.13,9.61,0.117,0.109,5.58,-16.8,0.00302,0.2764,6875,0,32.5,32.5
EURUSD,D1,1147,2021-12-06T00:00:00+00:00,2026-05-05T00:00:00+00:00,1611.0,71.2,1.09395,1.15,9.39,0.123,0.269,1.56,-16.25,0.00799,0.73,1146,0,30.2,30.2
XAUUSD,M1,99820,2026-01-22T01:37:00+00:00,2026-05-05T16:23:00+00:00,103.6,66.9,4882.43008,-24.3,49.81,-0.488,-1.037,40.525,-26.65,3.62155,0.0742,73,0,33.0,33.0
XAUUSD,M5,99964,2024-12-03T22:15:00+00:00,2026-05-05T16:20:00+00:00,517.8,67.0,3731.66699,57.76,29.16,1.981,-0.88,50.076,-26.3,4.21536,0.113,366,0,33.0,33.0
XAUUSD,M15,99988,2022-02-09T02:45:00+00:00,2026-05-05T16:15:00+00:00,1546.6,67.3,2602.64291,32.21,22.24,1.448,-0.631,65.684,-26.06,4.14559,0.1593,254,0,33.0,33.0
XAUUSD,H1,26072,2021-12-06T01:00:00+00:00,2026-05-05T16:00:00+00:00,1611.6,67.4,2570.24605,31.7,21.72,1.459,-1.154,32.778,-24.42,8.32442,0.3239,264,0,32.9,32.9
XAUUSD,H4,6827,2021-12-06T00:00:00+00:00,2026-05-05T16:00:00+00:00,1611.7,70.6,2570.35893,30.1,21.03,1.431,-0.357,11.748,-23.57,16.92878,0.6586,6826,0,32.5,32.5
XAUUSD,D1,1138,2021-12-06T00:00:00+00:00,2026-05-05T00:00:00+00:00,1611.0,70.6,2571.05464,30.26,21.52,1.406,-0.7,7.148,-20.83,44.42732,1.728,1137,0,30.2,30.2
NAS100,M1,99820,2026-01-22T15:54:00+00:00,2026-05-05T16:23:00+00:00,103.0,67.3,25211.26536,45.33,26.79,1.692,-0.053,128.922,-13.04,10.69899,0.0424,74,0,33.0,33.0
NAS100,M5,99964,2024-11-29T06:05:00+00:00,2026-05-05T16:20:00+00:00,522.4,66.4,23135.28865,30.4,27.67,1.099,-0.563,258.727,-26.44,20.08329,0.0868,451,0,33.0,33.0
NAS100,M15,100142,2022-01-18T01:00:00+00:00,2026-05-05T16:15:00+00:00,1568.6,66.5,17814.12811,20.36,28.36,0.718,-0.407,63.875,-32.94,28.992,0.1627,267,0,33.0,33.0
NAS100,H1,26039,2021-12-06T01:00:00+00:00,2026-05-05T16:00:00+00:00,1611.6,67.3,17746.19684,19.34,28.15,0.687,0.156,30.187,-37.0,59.74077,0.3366,274,0,32.9,32.9
NAS100,H4,6823,2021-12-06T00:00:00+00:00,2026-05-05T16:00:00+00:00,1611.7,70.6,17748.10487,18.56,28.12,0.66,0.327,17.329,-36.97,121.79513,0.6862,6822,0,32.5,32.5
NAS100,D1,1141,2021-12-06T00:00:00+00:00,2026-05-05T00:00:00+00:00,1611.0,70.8,17760.1019,18.24,27.62,0.661,0.149,5.053,-35.49,337.90337,1.9026,1140,0,30.2,30.2
