entry_time,exit_time,entry_price,exit_price,direction,return,bars_held
50,67,1.09226,1.09505,-1.0,-0.0025543368794975763,17
67,94,1.09505,1.093935,1.0,-0.0010182183461941996,27
94,106,1.093935,1.093385,-1.0,0.0005027721025472331,12
106,138,1.093385,1.0934400000000002,1.0,5.030250094906208e-05,32
138,166,1.0934400000000002,1.096555,-1.0,-0.0028488074334209745,28
166,211,1.096555,1.0949650000000002,1.0,-0.001449995668251769,45
211,298,1.0949650000000002,1.08799,-1.0,0.0063700666231342185,87
298,316,1.08799,1.0888200000000001,1.0,0.0007628746587744484,18
316,327,1.0888200000000001,1.08806,-1.0,0.0006980033430686872,11
327,365,1.08806,1.08929,1.0,0.0011304523647592823,38
365,370,1.08929,1.089525,-1.0,-0.00021573685611731008,5
370,371,1.089525,1.088755,1.0,-0.0007067299970171526,1
371,403,1.088755,1.090535,-1.0,-0.001634894902893702,32
403,429,1.090535,1.0836000000000001,1.0,-0.006359264030957212,26
429,501,1.0836000000000001,1.0846050000000003,-1.0,-0.0009274640088594577,72
501,527,1.0846050000000003,1.08186,1.0,-0.0025308752956146874,26
