mom,trend,sharpe,return_pct,ann_ret,max_dd,windows
20,200,1.239,50.49,16.28,-16.48,11
20,0,1.21,81.53,23.75,-21.94,11
10,200,1.115,41.81,13.91,-14.71,11
10,50,1.043,53.77,17.14,-17.46,11
20,50,1.03,58.37,18.31,-15.76,11
5,50,1.012,48.26,15.68,-14.02,11
5,200,1.01,34.69,11.86,-14.26,11
5,0,0.995,64.24,19.76,-17.56,11
20,20,0.981,56.02,17.71,-19.92,11
5,20,0.839,43.66,14.43,-17.95,11
30,200,0.839,33.18,11.41,-21.43,11
10,0,0.835,51.28,16.49,-24.39,11
10,20,0.823,46.12,15.1,-21.18,11
20,100,0.798,37.77,12.76,-17.77,11
5,100,0.726,29.94,10.43,-16.66,11
15,200,0.709,26.03,9.21,-20.01,11
40,200,0.708,28.34,9.94,-23.57,11
40,20,0.694,33.24,11.43,-18.56,11
15,50,0.676,34.35,11.76,-20.62,11
30,50,0.626,33.17,11.41,-20.0,11
40,50,0.625,32.3,11.15,-22.99,11
30,20,0.62,30.6,10.63,-17.45,11
50,200,0.617,24.66,8.78,-21.4,11
15,20,0.568,30.33,10.55,-18.93,11
10,100,0.56,24.05,8.58,-17.26,11
50,50,0.559,27.6,9.71,-20.46,11
15,0,0.521,29.4,10.27,-24.51,11
50,20,0.509,23.07,8.27,-17.66,11
30,0,0.503,27.81,9.77,-23.71,11
15,100,0.488,21.84,7.87,-22.59,11
40,0,0.471,25.55,9.06,-28.82,11
30,100,0.413,18.95,6.91,-18.47,11
40,100,0.325,15.03,5.57,-24.18,11
50,0,0.215,10.8,4.08,-25.19,11
50,100,0.128,5.75,2.22,-22.55,11
