mom_lb,trend_lb,sharpe,total_return_pct,ann_return_pct,ann_vol_pct,max_dd_pct,num_trades,win_rate_pct,profit_factor,windows
20,0,1.128,91.54,24.76,21.95,-17.33,0,,,23
40,200,1.018,61.29,18.21,17.89,-19.83,0,,,23
20,200,0.989,55.32,16.77,16.96,-16.71,0,,,23
15,0,0.973,75.26,21.37,21.95,-26.87,0,,,23
40,0,0.931,69.98,20.21,21.71,-23.11,0,,,23
15,200,0.917,47.59,14.83,16.16,-17.03,0,,,23
10,200,0.764,38.03,12.28,16.07,-17.08,0,,,23
10,0,0.752,54.43,16.55,22.02,-25.64,0,,,23
20,50,0.746,47.4,14.78,19.82,-13.41,0,,,23
15,100,0.738,39.96,12.81,17.35,-19.24,0,,,23
15,50,0.733,44.02,13.89,18.95,-16.26,0,,,23
40,100,0.728,45.33,14.24,19.56,-19.42,0,,,23
40,50,0.723,47.37,14.77,20.42,-23.15,0,,,23
20,100,0.71,40.38,12.92,18.21,-13.84,0,,,23
50,200,0.646,36.16,11.76,18.19,-20.11,0,,,23
30,200,0.608,32.08,10.6,17.44,-21.34,0,,,23
15,500,0.57,19.54,6.8,11.93,-13.79,0,,,23
40,30,0.515,29.33,9.8,19.04,-17.12,0,,,23
10,50,0.511,28.32,9.5,18.58,-16.53,0,,,23
20,30,0.504,31.6,10.46,20.76,-16.83,0,,,23
50,0,0.48,31.29,10.37,21.62,-24.82,0,,,23
20,500,0.475,17.16,6.03,12.71,-13.76,0,,,23
50,50,0.461,27.28,9.19,19.93,-22.21,0,,,23
15,30,0.435,25.96,8.79,20.19,-22.89,0,,,23
50,100,0.432,25.38,8.61,19.92,-22.33,0,,,23
10,100,0.391,19.3,6.72,17.2,-22.29,0,,,23
30,50,0.354,21.16,7.31,20.66,-20.12,0,,,23
50,30,0.353,18.73,6.54,18.54,-20.6,0,,,23
30,0,0.346,21.9,7.54,21.8,-23.14,0,,,23
10,500,0.318,10.29,3.73,11.73,-15.97,0,,,23
30,100,0.268,14.37,5.11,19.12,-20.22,0,,,23
10,30,0.231,12.7,4.55,19.75,-22.9,0,,,23
30,30,0.155,8.41,3.08,19.9,-20.21,0,,,23
40,500,0.13,4.68,1.74,13.44,-22.25,0,,,23
50,500,0.129,4.7,1.75,13.58,-24.12,0,,,23
30,500,-0.153,-5.17,-2.02,13.22,-27.91,0,,,23
