filter,sharpe,ann_return,max_dd,trades,win_rate,blocked_pct
No filter,1.978,31.52,-13.68,673,46.21,0.0
Max spread: 100,1.978,31.52,-13.68,673,46.21,0.0
Max spread: 75,1.975,31.47,-13.68,674,46.29,0.003835532371893219
Max spread: 50,1.959,31.21,-13.68,674,45.99,0.04219085609082541
Max spread: 40,1.959,31.21,-13.68,674,45.99,0.04219085609082541
Max spread: 30,1.959,31.21,-13.68,674,45.99,0.04219085609082541
Max spread: 25,1.943,30.95,-13.68,677,46.09,0.08438171218165082
No filter,1.978,31.52,-13.68,673,46.21,0.0
Min volume: 2000,1.891,29.76,-14.19,1458,51.03,9.987726296409942
Min volume: 3202,1.736,26.51,-13.68,1954,51.28,24.98849340288432
Min volume: 4725,1.452,20.4,-13.58,2016,51.98,49.99232893525621
